doublewedge_t0p034 interp=linear
1.000000 0.000000
0.750000 0.008500
0.500000 0.017000
0.250000 0.008500
0.000000 0.000000
0.250000 -0.008500
0.500000 -0.017000
0.750000 -0.008500
1.000000 0.000000
