x_m,z_m
0.0,0.0
0.016972053413252003,0.0
0.033944106826504006,0.0
0.05091616023975601,0.0
0.06788821365300801,0.0
0.08486026706626001,0.0
0.10183232047951202,0.0
0.118804373892764,0.0
0.13577642730601602,0.0
0.15274848071926803,0.0
0.16972053413252003,0.0
0.18669258754577203,0.0
0.20366464095902403,0.0
0.22063669437227604,0.0
0.237608747785528,0.0
0.25458080119878,0.0
0.27155285461203205,0.0
0.2885249080252841,0.0
0.30549696143853605,0.0
0.322469014851788,0.0
0.33944106826504006,0.0
0.3564131216782921,0.0
0.37338517509154406,0.0
0.39035722850479604,0.0
0.40732928191804807,0.0
0.4243013353313001,0.0
0.4412733887445521,0.0
0.45824544215780405,0.0
0.475217495571056,0.0
0.4921895489843081,0.0
0.50916160239756,0.0
0.5261336558108121,0.0
0.5431057092240641,0.0
0.5600777626373161,0.0
0.5770498160505682,0.0
0.5940218694638201,0.0
0.6109939228770721,0.0
0.6279659762903241,0.0
0.644938029703576,0.0
0.6619100831168281,0.0
0.6788821365300801,0.0
0.6958541899433321,0.0
0.7128262433565842,0.0
0.7297982967698361,0.0
0.7467703501830881,0.0
0.7637424035963402,0.0
0.7807144570095921,0.0
0.7976865104228441,0.0
0.8146585638360961,0.0
0.8316306172493482,0.0
0.8486026706626002,0.0
0.8655747240758521,0.0
0.8825467774891042,0.0
0.8995188309023562,0.0
0.9164908843156081,0.0
0.9334629377288601,0.0
0.950434991142112,0.0
0.9674070445553642,0.0
0.9843790979686162,0.0
1.0013511513818683,0.0
1.01832320479512,0.0
1.035295258208372,0.0
1.0522673116216241,0.0
1.0692393650348762,0.0
1.0862114184481282,0.0
1.1031834718613802,0.0
1.1201555252746322,0.0
1.1371275786878843,0.0
1.1540996321011363,0.0
1.1710716855143881,0.0
1.1880437389276401,0.0
1.2050157923408922,0.0
1.2219878457541442,0.0
1.2389598991673962,0.0
1.2559319525806483,0.0
1.2729040059939003,0.0
1.289876059407152,0.0
1.3068481128204041,0.0
1.3238201662336562,0.0
1.3407922196469082,0.0
1.3577642730601602,0.0
1.3747363264734123,0.0
1.3917083798866643,0.0
1.4086804332999163,0.0
1.4256524867131684,0.0
1.4426245401264202,0.0
1.4595965935396722,0.0
1.4765686469529242,0.0
1.4935407003661763,0.0
1.5105127537794283,0.0
1.5274848071926803,0.0
1.5444568606059323,0.0
1.5614289140191842,0.0
1.5784009674324362,0.0
1.5953730208456882,0.0
1.6123450742589402,0.0
1.6293171276721923,0.0
1.6462891810854443,0.0
1.6632612344986963,0.0
1.6802332879119484,0.0
1.6972053413252004,0.0
1.7141773947384522,0.0
1.7311494481517042,0.0
1.7481215015649563,0.0
1.7650935549782083,0.0
1.7820656083914603,0.0
1.7990376618047124,0.0
1.8160097152179642,0.0
1.8329817686312162,0.0
1.849953822044468,0.0
1.8669258754577203,0.0
1.8838979288709723,0.0
1.900869982284224,0.0
1.9178420356974764,0.0
1.9348140891107284,0.0
1.9517861425239802,0.0
1.9687581959372324,0.0
1.9857302493504845,0.0
2.0027023027637365,0.0
2.0196743561769885,0.0
2.03664640959024,0.0
2.053618463003492,0.0
2.070590516416744,0.0
2.087562569829996,0.0
2.1045346232432482,0.0
2.1215066766565003,0.0
2.1384787300697523,0.0
2.1554507834830043,0.0
2.1724228368962564,0.0
2.1893948903095084,0.0
2.2063669437227604,0.0
2.2233389971360125,0.0
2.2403110505492645,0.0
2.2572831039625165,0.0
2.2742551573757686,0.0
2.2912272107890206,0.0
2.3081992642022726,0.0
2.325171317615524,0.0
2.3421433710287762,0.0
2.3591154244420283,0.0
2.3760874778552803,0.0
2.3930595312685323,0.0
2.4100315846817844,0.0
2.4270036380950364,0.0
2.4439756915082884,0.0
2.4609477449215404,0.0
2.4779197983347925,0.0
2.4948918517480445,0.0
2.5118639051612965,0.0
2.5288359585745486,0.0
2.5458080119878006,0.0
2.5627800654010526,0.0
2.579752118814304,0.0
2.5967241722275562,0.0
2.6136962256408083,0.0
2.6306682790540603,0.0
2.6476403324673123,0.0
2.6646123858805644,0.0
2.6815844392938164,0.0
2.6985564927070684,0.0
